hassaniya,français,categorie,exemple,source
sbah lkhayr,Bonjour,salutation,On dit 'sbah lkhayr'. La réponse est 'sbah nour' (matin de lumière).,Fatimetou Nemane — locutrice native hassaniya
leyltak saiide,Bonsoir,salutation,On dit 'leyltak saiide'.,Fatimetou Nemane — locutrice native hassaniya
leyle sa3ide,Bonne nuit,salutation,On dit 'leyle sa3ide' pour dire bonne nuit en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
sh-halak ?,Comment tu vas ?,salutation,On dit 'sh-halak ?' La réponse est 'lebass'.,Fatimetou Nemane — locutrice native hassaniya
lebass,Je vais bien,salutation,On dit 'lebass'.,Fatimetou Nemane — locutrice native hassaniya
yaa merhba w sehla,Bienvenue,salutation,On dit 'yaa merhba w sehla'. La réponse est 'wennibik'.,Fatimetou Nemane — locutrice native hassaniya
wedaatak lmoulana,Au revoir,salutation,On dit 'wedaatak lmoulana' (je te confie à Dieu).,Fatimetou Nemane — locutrice native hassaniya
maaselam,À bientôt,salutation,On dit 'maaselam'.,Fatimetou Nemane — locutrice native hassaniya
shoukran,Merci,salutation,On dit 'shoukran' ou 'jezake llahou khayran' pour merci beaucoup.,Fatimetou Nemane — locutrice native hassaniya
hagallah,S'il te plaît,salutation,On dit 'hagallah'.,Fatimetou Nemane — locutrice native hassaniya
smah-li,Excuse-moi,salutation,On dit 'smah-li' ou 'avwen'.,Fatimetou Nemane — locutrice native hassaniya
ane jiaane,J'ai faim,restaurant,On dit 'ane jiaane' ou 'thamrane'.,Fatimetou Nemane — locutrice native hassaniya
ane adshane,J'ai soif,restaurant,On dit 'ane adshane'.,Fatimetou Nemane — locutrice native hassaniya
ndor thiéboudienne mn vadlak,Je voudrais du thiéboudienne,restaurant,On dit 'ndor thiéboudienne mn vadlak'.,Fatimetou Nemane — locutrice native hassaniya
hadha hlou,C'est délicieux,restaurant,On dit 'hadha hlou'.,Fatimetou Nemane — locutrice native hassaniya
lkhlass mn vadlak,L'addition,restaurant,On dit 'lkhlass mn vadlak' ou 'lkhlass mn vadlkoum' (plus respectueux).,Fatimetou Nemane — locutrice native hassaniya
meyha mn vadlak,De l'eau,restaurant,On dit 'meyha mn vadlak'.,Fatimetou Nemane — locutrice native hassaniya
hadha hamedh,C'est trop épicé,restaurant,On dit 'hadha hamedh'.,Fatimetou Nemane — locutrice native hassaniya
taxi mneyn ?,Où est le taxi ?,transport,"On dit 'taxi mneyn ?'. L'équivalent Uber est ClassRide, appelle le 1122.",Fatimetou Nemane — locutrice native hassaniya
guiss biya,Emmène-moi,transport,On dit 'guiss biya ... mn vadlak'.,Fatimetou Nemane — locutrice native hassaniya
wegev houn,Arrête-toi ici,transport,On dit 'wegev houn'.,Fatimetou Nemane — locutrice native hassaniya
lgdam,Tout droit,transport,On dit 'lgdam'.,Fatimetou Nemane — locutrice native hassaniya
hanini,Attends-moi,transport,On dit 'hanini'.,Fatimetou Nemane — locutrice native hassaniya
bkem ?,Combien ?,transport,On dit 'bkem ?' ou 'hadha bkem ?',Fatimetou Nemane — locutrice native hassaniya
hadha waair hatte,C'est trop cher,shopping,On dit 'hadha waair hatte'.,Fatimetou Nemane — locutrice native hassaniya
hewenli,Fais-moi un prix,shopping,On dit 'hewenli'. La négociation est normale dans les marchés mauritaniens.,Fatimetou Nemane — locutrice native hassaniya
ndor hadha,Je prends celui-là,shopping,On dit 'ndor hadha'.,Fatimetou Nemane — locutrice native hassaniya
mandorou,Je ne veux pas,shopping,On dit 'mandorou'.,Fatimetou Nemane — locutrice native hassaniya
ane la netneymesh,Je regarde juste,shopping,On dit 'ane la netneymesh'.,Fatimetou Nemane — locutrice native hassaniya
lehgouni,Au secours !,urgences,"On crie 'lehgouni !'. Police : 17, SAMU : 101.",Fatimetou Nemane — locutrice native hassaniya
ane ndor Tabib,J'ai besoin d'un médecin,urgences,On dit 'ane ndor Tabib'.,Fatimetou Nemane — locutrice native hassaniya
Tab mneyn ?,Où est l'hôpital ?,urgences,On dit 'Tab mneyn ?',Fatimetou Nemane — locutrice native hassaniya
aliya lhima,J'ai de la fièvre,urgences,On dit 'aliya lhima'.,Fatimetou Nemane — locutrice native hassaniya
wghoud Aliya passpori,J'ai perdu mon passeport,urgences,On dit 'wghoud Aliya passpori'.,Fatimetou Nemane — locutrice native hassaniya
ane sayih,Je suis touriste,culture,On dit 'ane sayih'.,Fatimetou Nemane — locutrice native hassaniya
nbghi mouritan,J'aime la Mauritanie,culture,On dit 'nbghi mouritan'.,Fatimetou Nemane — locutrice native hassaniya
nadini Ala étay,Invite-moi au thé,culture,"On dit 'nadini Ala étay'. La cérémonie s'appelle nedwiya — 3 tournées : amère, douce, très sucrée. Ne jamais refuser !",Fatimetou Nemane — locutrice native hassaniya
hathe zeyn hatt,C'est magnifique,culture,On dit 'hathe zeyn hatt'.,Fatimetou Nemane — locutrice native hassaniya
Marti lewle hun,C'est ma première fois ici,culture,On dit 'Marti lewle hun'.,Fatimetou Nemane — locutrice native hassaniya
nged negbadh Noura ?,Puis-je prendre une photo ?,culture,On dit 'nged negbadh Noura ?',Fatimetou Nemane — locutrice native hassaniya
nb9ik,Je t'aime,social,On dit 'nb9ik' pour dire je t'aime en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
hadhe sahbi,C'est mon ami,social,On dit 'hadhe sahbi'.,Fatimetou Nemane — locutrice native hassaniya
hadhou ehli,C'est ma famille,social,On dit 'hadhou ehli'.,Fatimetou Nemane — locutrice native hassaniya
esmak chenhou ?,Comment tu t'appelles ?,social,On dit 'esmak chenhou ?',Fatimetou Nemane — locutrice native hassaniya
ane smi,Je m'appelle,social,On dit 'ane smi ...' suivi du prénom.,Fatimetou Nemane — locutrice native hassaniya
Dor nejabrou nshAllah,On se reverra,social,On dit 'Dor nejabrou nshAllah'.,Fatimetou Nemane — locutrice native hassaniya
na3ssane,J'ai sommeil,social,On dit 'na3ssane' pour dire j'ai sommeil en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
vetrane,Je suis fatigué(e),social,On dit 'vetrane' pour dire je suis fatigué(e) en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
nte maaydel,Tu es très gentil,compliments,On dit 'nte maaydel'.,Fatimetou Nemane — locutrice native hassaniya
deshra zeyne,C'est une belle ville,compliments,On dit 'deshra zeyne'.,Fatimetou Nemane — locutrice native hassaniya
loukil zeyn,La nourriture est excellente,compliments,On dit 'loukil zeyn'.,Fatimetou Nemane — locutrice native hassaniya
ntoume mtadlin,Vous êtes accueillants,compliments,On dit 'ntoume mtadlin'.,Fatimetou Nemane — locutrice native hassaniya
dor narja3 lkum,Je reviendrai,compliments,On dit 'dor narja3 lkum'.,Fatimetou Nemane — locutrice native hassaniya
zyen bleyde gad jeytha,C'est le plus beau pays,compliments,On dit 'zyen bleyde gad jeytha' — expression qui touche profondément les Mauritaniens !,Fatimetou Nemane — locutrice native hassaniya
ha4e zeyn,C'est bien,compliments,On dit 'ha4e zeyn' pour dire c'est bien en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e mahu zeyn,C'est pas bien,compliments,On dit '4e mahu zeyn' pour dire c'est pas bien en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lhouman,Il fait chaud,meteo,On dit 'lhouman'.,Fatimetou Nemane — locutrice native hassaniya
lberd,Il fait froid,meteo,On dit 'lberd'.,Fatimetou Nemane — locutrice native hassaniya
leryah,Il y a du vent,meteo,On dit 'leryah'. Nouakchott = la ville des vents !,Fatimetou Nemane — locutrice native hassaniya
jriha,Tempête de sable,meteo,On dit 'jriha'.,Fatimetou Nemane — locutrice native hassaniya
lbadiye zeyna,Le désert est beau,meteo,On dit 'lbadiye zeyna'.,Fatimetou Nemane — locutrice native hassaniya
berdane,J'ai froid,meteo,On dit 'berdane' pour dire j'ai froid en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
hamyane,J'ai chaud,meteo,On dit 'hamyane' pour dire j'ai chaud en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
wahd thneyn thlathe rbaa khamsse,Les chiffres,chiffres,"1=wahd, 2=thneyn, 3=thlathe, 4=rbaa, 5=khamsse, 6=sita, 7=sabaa, 8=thmanya, 9=tessaa, 10=ashra, 20=eshrin, 100=miye, 1000=elv.",Fatimetou Nemane — locutrice native hassaniya
lahi nkhalass b Bankily,Je paie par Bankily,chiffres,"On dit 'lahi nkhalass b Bankily'. Bankily est l'app de paiement la plus utilisée, code USSD *888#.",Fatimetou Nemane — locutrice native hassaniya
andi miaad,J'ai une réservation,logement,On dit 'andi miaad'.,Fatimetou Nemane — locutrice native hassaniya
bkem leyle ?,C'est combien la nuit ?,logement,On dit 'bkem leyle ?',Fatimetou Nemane — locutrice native hassaniya
meyha hamya mahi khalgue,Pas d'eau chaude,logement,On dit 'meyha hamya mahi khalgue'.,Fatimetou Nemane — locutrice native hassaniya
3jel,Dépêche-toi !,pratique,On dit '3jel' pour dire dépêche-toi en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
hani,Attends !,pratique,On dit 'hani' pour dire attends en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
mafhemt,Je ne comprends pas,pratique,On dit 'mafhemt' ou 'mafhemtak'.,Fatimetou Nemane — locutrice native hassaniya
iih,Oui,pratique,On dit 'iih' pour dire oui en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
la,Non,pratique,On dit 'la' pour dire non en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
ane var7an,Je suis heureux/heureuse,emotions,On dit 'ane var7an(e)' pour je suis heureux/heureuse.,Fatimetou Nemane — locutrice native hassaniya
ane 7azin,Je suis triste,emotions,On dit 'ane 7azin(e)' pour je suis triste.,Fatimetou Nemane — locutrice native hassaniya
ane menvga3,Je suis en colère,emotions,On dit 'ane menvga3' (homme) ou 'menveg3a' (femme).,Fatimetou Nemane — locutrice native hassaniya
ane 5ayv,J'ai peur,emotions,On dit 'ane 5ayv' (homme) ou '5ayve' (femme).,Fatimetou Nemane — locutrice native hassaniya
ane mtvaj2,Je suis surpris(e),emotions,On dit 'ane mtvaj2(e)' pour je suis surpris(e).,Fatimetou Nemane — locutrice native hassaniya
ane mt2essev,Je suis désolé(e),emotions,On dit 'ane mt2essev(e)' pour je suis désolé(e).,Fatimetou Nemane — locutrice native hassaniya
ane mnd7ass,Je m'ennuie,emotions,On dit 'ane mnd7ass' (homme) ou 'mnda7sse' (femme).,Fatimetou Nemane — locutrice native hassaniya
ane mtwetar,Je suis stressé(e),emotions,On dit 'ane mtwetar' (homme) ou 'mtwetra' (femme).,Fatimetou Nemane — locutrice native hassaniya
ane va5our,Je suis fier/fière,emotions,On dit 'ane va5our' (homme) ou 'va5oura' (femme).,Fatimetou Nemane — locutrice native hassaniya
ane 9ayr,Je suis jaloux/jalouse,emotions,On dit 'ane 9ayr(e)' pour je suis jaloux/jalouse.,Fatimetou Nemane — locutrice native hassaniya
bouye / waldi,Mon père,famille,On dit 'bouye' ou 'waldi' pour mon père.,Fatimetou Nemane — locutrice native hassaniya
oumi / waledti,Ma mère,famille,On dit 'oumi' ou 'waledti' pour ma mère.,Fatimetou Nemane — locutrice native hassaniya
5ouye,Mon frère,famille,On dit '5ouye' pour mon frère.,Fatimetou Nemane — locutrice native hassaniya
5ti,Ma sœur,famille,On dit '5ti' pour ma sœur.,Fatimetou Nemane — locutrice native hassaniya
rajli / huwe,Mon mari,famille,On dit 'rajli' ou 'huwe'. Les femmes mauritaniennes n'aiment pas appeler leur mari par son prénom.,Fatimetou Nemane — locutrice native hassaniya
wouli,Mon fils,famille,On dit 'wouli' pour mon fils.,Fatimetou Nemane — locutrice native hassaniya
menti,Ma fille,famille,On dit 'menti' pour ma fille.,Fatimetou Nemane — locutrice native hassaniya
jedi,Mon grand-père,famille,On dit 'jedi' pour mon grand-père.,Fatimetou Nemane — locutrice native hassaniya
